CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
75;CN;70764;C;;0;;3.01303;1.23158;0.23135;Rosa;108;
76;CN;57954;D;;0;;2.07458;0.95248;0.1601;Rosa;108;
77;CN;71535;D;;0;;1.80898;1.83094;0.22357;Rosa;108;
78;CN;70635;B;;0;;3.03544;1.36678;0.23054;Rosa;108;
79;CN;70063;D;;0;;1.63311;1.24731;0.08112;Rosa;108;
80;CN;72805;E;;0;;4.7167;1.26721;0.13762;Rosa;108;
81;CN;73623;D;;0;;4.72653;1.41272;0.21047;Rosa;108;
82;CN;59262;D;;0;;2.16688;1.38546;0.15788;Rosa;108;
83;CN;70932;A;;0;;0.93299;1.37958;0.09592;Rosa;108;
84;CN;73456;E;;0;;2.55085;0.94497;0.08097;Rosa;108;
85;CN;70872;B;;0;;1.86619;1.66789;0.22513;Rosa;108;
86;CN;70392;A;;0;;3.28794;1.17731;0.16356;Rosa;108;
87;CN;71533;A;;0;;1.60117;0.97924;0.08877;Rosa;108;
88;CN;70796;E;;0;;2.49459;-0.15033;0.1294;Rosa;108;
89;CN;70768;B;;0;;2.57595;1.15791;0.20292;Rosa;108;
90;CN;71280;E;;0;;2.29699;1.53464;0.15217;Rosa;108;
96;LC;70599;C;26;0;;3.07604;0.22901;0.21088;Amarelo;93;
97;LC;59081;E;19;0;;2.34558;-0.20813;0.26627;Amarelo;93;
98;LC;70521;E;3;0;;2.32533;0.57399;0.40145;Amarelo;93;
99;LC;70889;C;25;0;;1.50039;1.76787;0.08249;Amarelo;93;
100;LC;70154;A;19;0;;2.58737;0.00549;0.13956;Amarelo;93;
101;LC;71170;E;4;0;;1.39392;0.34729;0.07385;Amarelo;93;
102;LC;71721;C;12;0;;1.89315;-0.21956;0.13498;Amarelo;93;
103;LC;59698;D;23;0;;1.56852;0.67627;0.12512;Amarelo;93;
104;LC;71067;E;24;0;;1.44601;2.1107;0.07648;Amarelo;93;
105;LC;70005;C;10;0;;2.49467;-0.5592;0.14679;Amarelo;93;
106;LC;72844;D;9;0;;0.7748;0.69586;0.00376;Amarelo;93;
107;LC;72721;B;26;0;;2.62899;0.36762;0.20571;Amarelo;93;
108;LC;71716;D;13;0;;1.23305;2.04125;0.06718;Amarelo;93;
109;LC;71258;A;29;0;;1.4338;-0.80441;0.00635;Amarelo;93;
110;LC;70559;B;28;0;;2.25801;0.77876;0.13932;Amarelo;93;
111;LC;72952;C;1;0;;2.89166;0.31137;0.14389;Amarelo;93;
112;LC;59650;C;3;0;;2.48112;0.41902;0.18058;Amarelo;93;
113;LC;59675;E;3;0;;1.63969;0.69153;0.16411;Amarelo;93;
114;LC;72500;B;4;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;93;
115;LC;59622;B;20;0;;1.5974;0.75175;0.16123;Amarelo;93;
116;LC;71656;E;18;0;;1.58996;1.20586;0.12832;Amarelo;93;
117;LC;70935;A;30;0;;2.17112;-0.30541;0.07245;Amarelo;93;
118;LC;73820;D;17;0;;1.91745;1.49628;0.17249;Amarelo;93;
119;LC;73715;B;16;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;93;
120;LC;71820;A;11;0;;0.78958;-0.2446;0.05225;Amarelo;93;
121;LC;59612;C;22;0;;1.99469;0.97618;0.20987;Amarelo;93;
122;LC;71400;D;21;0;;1.88969;-0.46003;0.17616;Amarelo;93;
123;LC;72290;B;14;0;;2.49321;0.59202;0.1915;Amarelo;93;
124;LC;59668;C;23;0;;1.36726;1.00596;0.15489;Amarelo;93;
125;LC;70799;E;24;0;;2.41446;0.06013;0.11401;Amarelo;93;
126;LC;73893;D;23;0;;2.57349;0.66788;0.2627;Amarelo;93;
127;LC;71384;D;27;0;;3.18378;0.18139;0.13769;Amarelo;93;
128;LC;71357;D;15;0;;1.94354;0.92331;0.16333;Amarelo;93;
129;LC;73648;A;17;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;93;
130;LC;59128;D;18;0;;2.62868;1.15324;0.15033;Amarelo;93;
131;LC;73591;B;2;0;;2.81992;-0.44177;0.20887;Amarelo;93;
132;LC;72522;A;13;0;;2.11371;0.50015;0.24302;Amarelo;93;
133;LC;73344;A;30;0;;0.99788;1.31359;0.09659;Amarelo;93;
134;LC;73727;D;15;0;;2.78488;0.98614;0.16763;Amarelo;93;
135;LC;71475;A;29;0;;2.84547;1.53135;0.19366;Amarelo;93;
91;LC;73572;A;5;0;;4.56819;0.76486;0.42491;Amarelo;93;0
92;LC;73600;D;8;0;;2.38795;1.03771;0.14402;Amarelo;93;0
93;LC;73598;E;6;0;;1.97907;0.98451;0.13471;Amarelo;93;0
94;LC;73669;C;6;0;;3.40621;0.63468;0.1305;Amarelo;93;0
95;LC;73770;D;7;0;;3.1426;0.80101;0.24898;Amarelo;93;0
91;LC;71466;D;7;0;;0.72792;2.60869;0.15949;Amarelo;93;1
92;LC;71445;D;6;0;;0.89881;1.31055;0.05298;Amarelo;93;1
93;LC;59663;E;8;0;;1.98758;-0.7191;0.09777;Amarelo;93;1
94;LC;72892;A;7;0;;1.59069;-0.46692;0.23159;Amarelo;93;1
95;LC;70994;D;5;0;;1.35609;2.07504;0.14123;Amarelo;93;1
96;LC;70599;C;26;0;;3.07604;0.22901;0.21088;Cinza;94;
97;LC;59081;E;19;0;;2.34558;-0.20813;0.26627;Cinza;94;
98;LC;70889;C;25;0;;1.50039;1.76787;0.08249;Cinza;94;
99;LC;70521;E;3;0;;2.32533;0.57399;0.40145;Cinza;94;
100;LC;71170;E;4;0;;1.39392;0.34729;0.07385;Cinza;94;
101;LC;70154;A;19;0;;2.58737;0.00549;0.13956;Cinza;94;
102;LC;71721;C;12;0;;1.89315;-0.21956;0.13498;Cinza;94;
103;LC;59698;D;23;0;;1.56852;0.67627;0.12512;Cinza;94;
104;LC;71067;E;24;0;;1.44601;2.1107;0.07648;Cinza;94;
105;LC;70005;C;10;0;;2.49467;-0.5592;0.14679;Cinza;94;
106;LC;72844;D;9;0;;0.7748;0.69586;0.00376;Cinza;94;
107;LC;72721;B;26;0;;2.62899;0.36762;0.20571;Cinza;94;
108;LC;71716;D;13;0;;1.23305;2.04125;0.06718;Cinza;94;
109;LC;71258;A;29;0;;1.4338;-0.80441;0.00635;Cinza;94;
110;LC;70559;B;28;0;;2.25801;0.77876;0.13932;Cinza;94;
111;LC;72952;C;1;0;;2.89166;0.31137;0.14389;Cinza;94;
112;LC;59650;C;3;0;;2.48112;0.41902;0.18058;Cinza;94;
113;LC;72500;B;4;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;94;
114;LC;59675;E;3;0;;1.63969;0.69153;0.16411;Cinza;94;
115;LC;59622;B;20;0;;1.5974;0.75175;0.16123;Cinza;94;
116;LC;71656;E;18;0;;1.58996;1.20586;0.12832;Cinza;94;
117;LC;73820;D;17;0;;1.91745;1.49628;0.17249;Cinza;94;
118;LC;70935;A;30;0;;2.17112;-0.30541;0.07245;Cinza;94;
119;LC;73715;B;16;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;94;
120;LC;71820;A;11;0;;0.78958;-0.2446;0.05225;Cinza;94;
121;LC;59612;C;22;0;;1.99469;0.97618;0.20987;Cinza;94;
122;LC;71400;D;21;0;;1.88969;-0.46003;0.17616;Cinza;94;
123;LC;72290;B;14;0;;2.49321;0.59202;0.1915;Cinza;94;
124;LC;59668;C;23;0;;1.36726;1.00596;0.15489;Cinza;94;
125;LC;70799;E;24;0;;2.41446;0.06013;0.11401;Cinza;94;
126;LC;73893;D;23;0;;2.57349;0.66788;0.2627;Cinza;94;
127;LC;71384;D;27;0;;3.18378;0.18139;0.13769;Cinza;94;
128;LC;73648;A;17;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;94;
129;LC;71357;D;15;0;;1.94354;0.92331;0.16333;Cinza;94;
130;LC;59128;D;18;0;;2.62868;1.15324;0.15033;Cinza;94;
131;LC;73591;B;2;0;;2.81992;-0.44177;0.20887;Cinza;94;
132;LC;72522;A;13;0;;2.11371;0.50015;0.24302;Cinza;94;
133;LC;73344;A;30;0;;0.99788;1.31359;0.09659;Cinza;94;
134;LC;71475;A;29;0;;2.84547;1.53135;0.19366;Cinza;94;
135;LC;73727;D;15;0;;2.78488;0.98614;0.16763;Cinza;94;
91;LC;73600;D;8;0;;2.38795;1.03771;0.14402;Cinza;94;0
92;LC;73572;A;5;0;;4.56819;0.76486;0.42491;Cinza;94;0
93;LC;73598;E;6;0;;1.97907;0.98451;0.13471;Cinza;94;0
94;LC;73770;D;7;0;;3.1426;0.80101;0.24898;Cinza;94;0
95;LC;73669;C;6;0;;3.40621;0.63468;0.1305;Cinza;94;0
91;LC;71445;D;6;0;;0.89881;1.31055;0.05298;Cinza;94;1
92;LC;71466;D;7;0;;0.72792;2.60869;0.15949;Cinza;94;1
93;LC;59663;E;8;0;;1.98758;-0.7191;0.09777;Cinza;94;1
94;LC;72892;A;7;0;;1.59069;-0.46692;0.23159;Cinza;94;1
95;LC;70994;D;5;0;;1.35609;2.07504;0.14123;Cinza;94;1
96;LC;70599;C;26;0;;3.07604;0.22901;0.21088;Azul;95;
97;LC;59081;E;19;0;;2.34558;-0.20813;0.26627;Azul;95;
98;LC;70521;E;3;0;;2.32533;0.57399;0.40145;Azul;95;
99;LC;70889;C;25;0;;1.50039;1.76787;0.08249;Azul;95;
100;LC;71721;C;12;0;;1.89315;-0.21956;0.13498;Azul;95;
101;LC;70154;A;19;0;;2.58737;0.00549;0.13956;Azul;95;
102;LC;71170;E;4;0;;1.39392;0.34729;0.07385;Azul;95;
103;LC;59698;D;23;0;;1.56852;0.67627;0.12512;Azul;95;
104;LC;71067;E;24;0;;1.44601;2.1107;0.07648;Azul;95;
105;LC;71716;D;13;0;;1.23305;2.04125;0.06718;Azul;95;
106;LC;72844;D;9;0;;0.7748;0.69586;0.00376;Azul;95;
107;LC;72721;B;26;0;;2.62899;0.36762;0.20571;Azul;95;
108;LC;70559;B;28;0;;2.25801;0.77876;0.13932;Azul;95;
109;LC;71258;A;29;0;;1.4338;-0.80441;0.00635;Azul;95;
110;LC;70005;C;10;0;;2.49467;-0.5592;0.14679;Azul;95;
111;LC;72952;C;1;0;;2.89166;0.31137;0.14389;Azul;95;
112;LC;59650;C;3;0;;2.48112;0.41902;0.18058;Azul;95;
113;LC;71656;E;18;0;;1.58996;1.20586;0.12832;Azul;95;
114;LC;72500;B;4;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;95;
115;LC;59622;B;20;0;;1.5974;0.75175;0.16123;Azul;95;
116;LC;59675;E;3;0;;1.63969;0.69153;0.16411;Azul;95;
117;LC;73715;B;16;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;95;
118;LC;73820;D;17;0;;1.91745;1.49628;0.17249;Azul;95;
119;LC;70935;A;30;0;;2.17112;-0.30541;0.07245;Azul;95;
120;LC;71820;A;11;0;;0.78958;-0.2446;0.05225;Azul;95;
121;LC;59612;C;22;0;;1.99469;0.97618;0.20987;Azul;95;
122;LC;71400;D;21;0;;1.88969;-0.46003;0.17616;Azul;95;
123;LC;72290;B;14;0;;2.49321;0.59202;0.1915;Azul;95;
124;LC;59668;C;23;0;;1.36726;1.00596;0.15489;Azul;95;
125;LC;73893;D;23;0;;2.57349;0.66788;0.2627;Azul;95;
126;LC;70799;E;24;0;;2.41446;0.06013;0.11401;Azul;95;
127;LC;71384;D;27;0;;3.18378;0.18139;0.13769;Azul;95;
128;LC;73648;A;17;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;95;
129;LC;71357;D;15;0;;1.94354;0.92331;0.16333;Azul;95;
130;LC;59128;D;18;0;;2.62868;1.15324;0.15033;Azul;95;
131;LC;72522;A;13;0;;2.11371;0.50015;0.24302;Azul;95;
132;LC;73591;B;2;0;;2.81992;-0.44177;0.20887;Azul;95;
133;LC;73344;A;30;0;;0.99788;1.31359;0.09659;Azul;95;
134;LC;73727;D;15;0;;2.78488;0.98614;0.16763;Azul;95;
135;LC;71475;A;29;0;;2.84547;1.53135;0.19366;Azul;95;
91;LC;73598;E;6;0;;1.97907;0.98451;0.13471;Azul;95;0
92;LC;73572;A;5;0;;4.56819;0.76486;0.42491;Azul;95;0
93;LC;73600;D;8;0;;2.38795;1.03771;0.14402;Azul;95;0
94;LC;73669;C;6;0;;3.40621;0.63468;0.1305;Azul;95;0
95;LC;73770;D;7;0;;3.1426;0.80101;0.24898;Azul;95;0
91;LC;59663;E;8;0;;1.98758;-0.7191;0.09777;Azul;95;1
92;LC;71466;D;7;0;;0.72792;2.60869;0.15949;Azul;95;1
93;LC;71445;D;6;0;;0.89881;1.31055;0.05298;Azul;95;1
94;LC;70994;D;5;0;;1.35609;2.07504;0.14123;Azul;95;1
95;LC;72892;A;7;0;;1.59069;-0.46692;0.23159;Azul;95;1
96;LC;70599;C;26;0;;3.07604;0.22901;0.21088;Rosa;96;
97;LC;59081;E;19;0;;2.34558;-0.20813;0.26627;Rosa;96;
98;LC;70889;C;25;0;;1.50039;1.76787;0.08249;Rosa;96;
99;LC;70521;E;3;0;;2.32533;0.57399;0.40145;Rosa;96;
100;LC;71721;C;12;0;;1.89315;-0.21956;0.13498;Rosa;96;
101;LC;71170;E;4;0;;1.39392;0.34729;0.07385;Rosa;96;
102;LC;70154;A;19;0;;2.58737;0.00549;0.13956;Rosa;96;
103;LC;59698;D;23;0;;1.56852;0.67627;0.12512;Rosa;96;
104;LC;71067;E;24;0;;1.44601;2.1107;0.07648;Rosa;96;
105;LC;71716;D;13;0;;1.23305;2.04125;0.06718;Rosa;96;
106;LC;72844;D;9;0;;0.7748;0.69586;0.00376;Rosa;96;
107;LC;72721;B;26;0;;2.62899;0.36762;0.20571;Rosa;96;
108;LC;70559;B;28;0;;2.25801;0.77876;0.13932;Rosa;96;
109;LC;71258;A;29;0;;1.4338;-0.80441;0.00635;Rosa;96;
110;LC;70005;C;10;0;;2.49467;-0.5592;0.14679;Rosa;96;
111;LC;72952;C;1;0;;2.89166;0.31137;0.14389;Rosa;96;
112;LC;59650;C;3;0;;2.48112;0.41902;0.18058;Rosa;96;
113;LC;72500;B;4;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;96;
114;LC;59675;E;3;0;;1.63969;0.69153;0.16411;Rosa;96;
115;LC;59622;B;20;0;;1.5974;0.75175;0.16123;Rosa;96;
116;LC;71656;E;18;0;;1.58996;1.20586;0.12832;Rosa;96;
117;LC;73715;B;16;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;96;
118;LC;73820;D;17;0;;1.91745;1.49628;0.17249;Rosa;96;
119;LC;70935;A;30;0;;2.17112;-0.30541;0.07245;Rosa;96;
120;LC;71820;A;11;0;;0.78958;-0.2446;0.05225;Rosa;96;
121;LC;59612;C;22;0;;1.99469;0.97618;0.20987;Rosa;96;
122;LC;71400;D;21;0;;1.88969;-0.46003;0.17616;Rosa;96;
123;LC;72290;B;14;0;;2.49321;0.59202;0.1915;Rosa;96;
124;LC;59668;C;23;0;;1.36726;1.00596;0.15489;Rosa;96;
125;LC;73893;D;23;0;;2.57349;0.66788;0.2627;Rosa;96;
126;LC;70799;E;24;0;;2.41446;0.06013;0.11401;Rosa;96;
127;LC;71384;D;27;0;;3.18378;0.18139;0.13769;Rosa;96;
128;LC;71357;D;15;0;;1.94354;0.92331;0.16333;Rosa;96;
129;LC;73648;A;17;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;96;
130;LC;59128;D;18;0;;2.62868;1.15324;0.15033;Rosa;96;
131;LC;72522;A;13;0;;2.11371;0.50015;0.24302;Rosa;96;
132;LC;73591;B;2;0;;2.81992;-0.44177;0.20887;Rosa;96;
133;LC;73344;A;30;0;;0.99788;1.31359;0.09659;Rosa;96;
134;LC;71475;A;29;0;;2.84547;1.53135;0.19366;Rosa;96;
135;LC;73727;D;15;0;;2.78488;0.98614;0.16763;Rosa;96;
91;LC;73598;E;6;0;;1.97907;0.98451;0.13471;Rosa;96;0
92;LC;73600;D;8;0;;2.38795;1.03771;0.14402;Rosa;96;0
93;LC;73572;A;5;0;;4.56819;0.76486;0.42491;Rosa;96;0
94;LC;73770;D;7;0;;3.1426;0.80101;0.24898;Rosa;96;0
95;LC;73669;C;6;0;;3.40621;0.63468;0.1305;Rosa;96;0
91;LC;71466;D;7;0;;0.72792;2.60869;0.15949;Rosa;96;1
92;LC;71445;D;6;0;;0.89881;1.31055;0.05298;Rosa;96;1
93;LC;59663;E;8;0;;1.98758;-0.7191;0.09777;Rosa;96;1
94;LC;70994;D;5;0;;1.35609;2.07504;0.14123;Rosa;96;1
95;LC;72892;A;7;0;;1.59069;-0.46692;0.23159;Rosa;96;1
96;LC;72758;D;;0;;2.36979;-0.23487;0.12324;Amarelo;109;
97;LC;59694;C;;0;;2.23063;-0.80722;0.10099;Amarelo;109;
98;LC;71847;E;;0;;2.22394;-0.82853;0.14865;Amarelo;109;
99;LC;72643;A;;0;;2.80681;0.83426;0.17632;Amarelo;109;
100;LC;70649;A;;0;;2.13859;-0.52625;0.14432;Amarelo;109;
101;LC;70603;B;;0;;2.27004;-0.47045;0.20744;Amarelo;109;
102;LC;70683;A;;0;;1.99507;0.77373;0.18649;Amarelo;109;
103;LC;58215;E;;0;;1.78654;1.10624;0.15634;Amarelo;109;
104;LC;70685;C;;0;;2.75325;-0.28851;0.14891;Amarelo;109;
105;LC;71370;B;;0;;2.41688;-0.2503;0.19777;Amarelo;109;
106;LC;71075;B;;0;;1.50134;0.38389;0.21672;Amarelo;109;
107;LC;73784;D;;0;;2.1335;-0.44754;0.04061;Amarelo;109;
108;LC;72874;E;;0;;1.53089;-0.92559;0.04326;Amarelo;109;
109;LC;70365;C;;0;;2.47548;-0.00188;0.11458;Amarelo;109;
110;LC;71144;D;;0;;2.71772;0.77201;0.16928;Amarelo;109;
111;LC;71373;B;;0;;4.04976;0.28466;0.18774;Amarelo;109;
112;LC;71284;B;;0;;1.46865;0.19705;0.14557;Amarelo;109;
113;LC;71299;A;;0;;1.67614;0.14507;0.12372;Amarelo;109;
114;LC;70783;C;;0;;1.41885;-0.69407;0.10456;Amarelo;109;
115;LC;72761;B;;0;;0.93253;0.13765;0.08468;Amarelo;109;
116;LC;73849;E;;0;;2.04192;-0.21952;0.09268;Amarelo;109;
117;LC;71398;C;;0;;5.20052;0.55686;0.18469;Amarelo;109;
118;LC;70221;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;109;
119;LC;72902;C;;0;;3.11204;-0.1387;0.21765;Amarelo;109;
120;LC;73567;C;;0;;2.20112;1.34806;0.20607;Amarelo;109;
121;LC;72141;C;;0;;2.67059;0.15206;0.14145;Amarelo;109;
122;LC;72925;A;;0;;0.70866;2.17568;0.16707;Amarelo;109;
123;LC;72653;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarelo;109;
124;LC;70337;E;;0;;1.26918;-0.20006;0.03988;Amarelo;109;
125;LC;72779;C;;0;;1.64397;-0.29793;0.17922;Amarelo;109;
126;LC;71167;A;;0;;2.60561;-0.44951;0.16161;Amarelo;109;
127;LC;73658;C;;0;;2.18406;0.53311;0.20798;Amarelo;109;
128;LC;72200;E;;0;;2.14594;-0.01893;0.1087;Amarelo;109;
129;LC;70939;D;;0;;3.25598;-0.27773;0.15849;Amarelo;109;
130;LC;58181;D;;0;;2.24905;0.39993;0.13867;Amarelo;109;
131;LC;70374;A;;0;;2.84183;-0.40844;0.15505;Amarelo;109;
132;LC;71410;B;;0;;0.91219;1.47625;0.1785;Amarelo;109;
133;LC;70107;A;;0;;1.35305;0.19307;0.1765;Amarelo;109;
134;LC;71540;E;;0;;2.99962;0.08314;0.18542;Amarelo;109;
135;LC;72524;E;;0;;1.9598;-0.19815;0.1319;Amarelo;109;
91;LC;73147;A;;0;;1.23805;-0.82101;0.10764;Amarelo;109;0
92;LC;73505;B;;0;;2.08278;-0.65094;0.19234;Amarelo;109;0
93;LC;73500;B;;0;;1.34168;-0.72074;0.17132;Amarelo;109;0
94;LC;73619;C;;0;;1.04309;0.06731;0.06311;Amarelo;109;0
95;LC;73750;B;;0;;2.39987;-0.01608;0.16573;Amarelo;109;0
91;LC;70776;D;;0;;3.3733;0.24511;0.1592;Amarelo;109;1
92;LC;59100;D;;0;;1.65128;1.07938;0.21616;Amarelo;109;1
93;LC;71358;C;;0;;2.67333;-0.12946;0.1239;Amarelo;109;1
94;LC;71128;D;;0;;2.27219;0.34569;0.07651;Amarelo;109;1
95;LC;70657;E;;0;;2.93496;-0.15438;0.13419;Amarelo;109;1
96;LC;71847;E;;0;;2.22394;-0.82853;0.14865;Cinza;110;
97;LC;59694;C;;0;;2.23063;-0.80722;0.10099;Cinza;110;
98;LC;72758;D;;0;;2.36979;-0.23487;0.12324;Cinza;110;
99;LC;72643;A;;0;;2.80681;0.83426;0.17632;Cinza;110;
100;LC;70603;B;;0;;2.27004;-0.47045;0.20744;Cinza;110;
101;LC;70649;A;;0;;2.13859;-0.52625;0.14432;Cinza;110;
102;LC;70685;C;;0;;2.75325;-0.28851;0.14891;Cinza;110;
103;LC;58215;E;;0;;1.78654;1.10624;0.15634;Cinza;110;
104;LC;70683;A;;0;;1.99507;0.77373;0.18649;Cinza;110;
105;LC;73784;D;;0;;2.1335;-0.44754;0.04061;Cinza;110;
106;LC;71075;B;;0;;1.50134;0.38389;0.21672;Cinza;110;
107;LC;71370;B;;0;;2.41688;-0.2503;0.19777;Cinza;110;
108;LC;70783;C;;0;;1.41885;-0.69407;0.10456;Cinza;110;
109;LC;70365;C;;0;;2.47548;-0.00188;0.11458;Cinza;110;
110;LC;71373;B;;0;;4.04976;0.28466;0.18774;Cinza;110;
111;LC;71144;D;;0;;2.71772;0.77201;0.16928;Cinza;110;
112;LC;71284;B;;0;;1.46865;0.19705;0.14557;Cinza;110;
113;LC;71299;A;;0;;1.67614;0.14507;0.12372;Cinza;110;
114;LC;72874;E;;0;;1.53089;-0.92559;0.04326;Cinza;110;
115;LC;72761;B;;0;;0.93253;0.13765;0.08468;Cinza;110;
116;LC;71398;C;;0;;5.20052;0.55686;0.18469;Cinza;110;
117;LC;70221;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;110;
118;LC;73849;E;;0;;2.04192;-0.21952;0.09268;Cinza;110;
119;LC;73567;C;;0;;2.20112;1.34806;0.20607;Cinza;110;
120;LC;72902;C;;0;;3.11204;-0.1387;0.21765;Cinza;110;
121;LC;72141;C;;0;;2.67059;0.15206;0.14145;Cinza;110;
122;LC;72779;C;;0;;1.64397;-0.29793;0.17922;Cinza;110;
123;LC;71167;A;;0;;2.60561;-0.44951;0.16161;Cinza;110;
124;LC;70337;E;;0;;1.26918;-0.20006;0.03988;Cinza;110;
125;LC;72925;A;;0;;0.70866;2.17568;0.16707;Cinza;110;
126;LC;72653;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Cinza;110;
127;LC;73658;C;;0;;2.18406;0.53311;0.20798;Cinza;110;
128;LC;70374;A;;0;;2.84183;-0.40844;0.15505;Cinza;110;
129;LC;71410;B;;0;;0.91219;1.47625;0.1785;Cinza;110;
130;LC;58181;D;;0;;2.24905;0.39993;0.13867;Cinza;110;
131;LC;72200;E;;0;;2.14594;-0.01893;0.1087;Cinza;110;
132;LC;70939;D;;0;;3.25598;-0.27773;0.15849;Cinza;110;
133;LC;70107;A;;0;;1.35305;0.19307;0.1765;Cinza;110;
134;LC;72524;E;;0;;1.9598;-0.19815;0.1319;Cinza;110;
135;LC;71540;E;;0;;2.99962;0.08314;0.18542;Cinza;110;
91;LC;73505;B;;0;;2.08278;-0.65094;0.19234;Cinza;110;0
92;LC;73147;A;;0;;1.23805;-0.82101;0.10764;Cinza;110;0
93;LC;73750;B;;0;;2.39987;-0.01608;0.16573;Cinza;110;0
94;LC;73619;C;;0;;1.04309;0.06731;0.06311;Cinza;110;0
95;LC;73500;B;;0;;1.34168;-0.72074;0.17132;Cinza;110;0
91;LC;59100;D;;0;;1.65128;1.07938;0.21616;Cinza;110;1
92;LC;70776;D;;0;;3.3733;0.24511;0.1592;Cinza;110;1
93;LC;70657;E;;0;;2.93496;-0.15438;0.13419;Cinza;110;1
94;LC;71128;D;;0;;2.27219;0.34569;0.07651;Cinza;110;1
95;LC;71358;C;;0;;2.67333;-0.12946;0.1239;Cinza;110;1
96;LC;71847;E;;0;;2.22394;-0.82853;0.14865;Azul;111;
97;LC;59694;C;;0;;2.23063;-0.80722;0.10099;Azul;111;
98;LC;72643;A;;0;;2.80681;0.83426;0.17632;Azul;111;
99;LC;72758;D;;0;;2.36979;-0.23487;0.12324;Azul;111;
100;LC;70683;A;;0;;1.99507;0.77373;0.18649;Azul;111;
101;LC;70603;B;;0;;2.27004;-0.47045;0.20744;Azul;111;
102;LC;70649;A;;0;;2.13859;-0.52625;0.14432;Azul;111;
103;LC;58215;E;;0;;1.78654;1.10624;0.15634;Azul;111;
104;LC;70685;C;;0;;2.75325;-0.28851;0.14891;Azul;111;
105;LC;73784;D;;0;;2.1335;-0.44754;0.04061;Azul;111;
106;LC;71075;B;;0;;1.50134;0.38389;0.21672;Azul;111;
107;LC;71370;B;;0;;2.41688;-0.2503;0.19777;Azul;111;
108;LC;70783;C;;0;;1.41885;-0.69407;0.10456;Azul;111;
109;LC;70365;C;;0;;2.47548;-0.00188;0.11458;Azul;111;
110;LC;71144;D;;0;;2.71772;0.77201;0.16928;Azul;111;
111;LC;71373;B;;0;;4.04976;0.28466;0.18774;Azul;111;
112;LC;71284;B;;0;;1.46865;0.19705;0.14557;Azul;111;
113;LC;71299;A;;0;;1.67614;0.14507;0.12372;Azul;111;
114;LC;72874;E;;0;;1.53089;-0.92559;0.04326;Azul;111;
115;LC;72761;B;;0;;0.93253;0.13765;0.08468;Azul;111;
116;LC;71398;C;;0;;5.20052;0.55686;0.18469;Azul;111;
117;LC;70221;B;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;111;
118;LC;73849;E;;0;;2.04192;-0.21952;0.09268;Azul;111;
119;LC;73567;C;;0;;2.20112;1.34806;0.20607;Azul;111;
120;LC;72902;C;;0;;3.11204;-0.1387;0.21765;Azul;111;
121;LC;72141;C;;0;;2.67059;0.15206;0.14145;Azul;111;
122;LC;72925;A;;0;;0.70866;2.17568;0.16707;Azul;111;
123;LC;72779;C;;0;;1.64397;-0.29793;0.17922;Azul;111;
124;LC;70337;E;;0;;1.26918;-0.20006;0.03988;Azul;111;
125;LC;72653;C;;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Azul;111;
126;LC;71167;A;;0;;2.60561;-0.44951;0.16161;Azul;111;
127;LC;73658;C;;0;;2.18406;0.53311;0.20798;Azul;111;
128;LC;70374;A;;0;;2.84183;-0.40844;0.15505;Azul;111;
129;LC;70939;D;;0;;3.25598;-0.27773;0.15849;Azul;111;
130;LC;58181;D;;0;;2.24905;0.39993;0.13867;Azul;111;
131;LC;72200;E;;0;;2.14594;-0.01893;0.1087;Azul;111;
132;LC;71410;B;;0;;0.91219;1.47625;0.1785;Azul;111;
133;LC;70107;A;;0;;1.35305;0.19307;0.1765;Azul;111;
134;LC;72524;E;;0;;1.9598;-0.19815;0.1319;Azul;111;
135;LC;71540;E;;0;;2.99962;0.08314;0.18542;Azul;111;
91;LC;73505;B;;0;;2.08278;-0.65094;0.19234;Azul;111;0
92;LC;73147;A;;0;;1.23805;-0.82101;0.10764;Azul;111;0
