CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA
55;CH;60189;A;;0;;2.29776;1.80107;0.1608;AMARELO;54
55;CH;60189;A;;0;;2.29776;1.80107;0.1608;BRANCO;55
55;CH;60189;A;;0;;2.29776;1.80107;0.1608;ROSA;56
55;CH;58527;C;;0;;1.21317;1.3403;0.15623;AZUL;69
55;CH;58527;C;;0;;1.21317;1.3403;0.15623;AMARELO;70
55;CH;58530;C;;0;;2.10707;0.35351;0.2347;BRANCO;71
55;CH;58530;C;;0;;2.10707;0.35351;0.2347;ROSA;72
56;CH;60190;D;;0;;0.7605;2.22704;0.15629;AZUL;53
56;CH;60191;D;;0;;1.50978;0.81631;0.19238;AMARELO;54
56;CH;60190;D;;0;;0.7605;2.22704;0.15629;BRANCO;55
56;CH;60191;D;;0;;1.50978;0.81631;0.19238;ROSA;56
56;CH;58530;C;;0;;2.10707;0.35351;0.2347;AZUL;69
56;CH;58530;C;;0;;2.10707;0.35351;0.2347;AMARELO;70
56;CH;58527;C;;0;;1.21317;1.3403;0.15623;BRANCO;71
56;CH;58527;C;;0;;1.21317;1.3403;0.15623;ROSA;72
57;CH;60191;D;;0;;1.50978;0.81631;0.19238;AZUL;53
57;CH;60190;D;;0;;0.7605;2.22704;0.15629;AMARELO;54
57;CH;60191;D;;0;;1.50978;0.81631;0.19238;BRANCO;55
57;CH;60190;D;;0;;0.7605;2.22704;0.15629;ROSA;56
57;CH;58759;A;;0;;1.60076;0.00932;0.12395;AZUL;69
57;CH;58759;A;;0;;1.60076;0.00932;0.12395;AMARELO;70
57;CH;58759;A;;0;;1.60076;0.00932;0.12395;BRANCO;71
57;CH;58759;A;;0;;1.60076;0.00932;0.12395;ROSA;72
58;CH;60192;B;;0;;2.92255;2.83048;0.22713;AZUL;53
58;CH;60192;B;;0;;2.92255;2.83048;0.22713;AMARELO;54
58;CH;60193;E;;0;;1.47286;0.2724;0.0619;BRANCO;55
58;CH;60192;B;;0;;2.92255;2.83048;0.22713;ROSA;56
58;CH;58760;A;;0;;1.31405;0.18227;0.07888;AZUL;69
58;CH;58760;A;;0;;1.31405;0.18227;0.07888;AMARELO;70
58;CH;58760;A;;0;;1.31405;0.18227;0.07888;BRANCO;71
58;CH;58715;E;;0;;2.00853;0.47951;0.30938;ROSA;72
59;CH;58536;B;;0;;1.20882;0.2252;0.08281;AZUL;53
59;CH;58536;B;;0;;1.20882;0.2252;0.08281;AMARELO;54
59;CH;58536;B;;0;;1.20882;0.2252;0.08281;BRANCO;55
59;CH;58536;B;;0;;1.20882;0.2252;0.08281;ROSA;56
59;CH;58100;D;;0;;2.51547;0.60177;0.23343;AZUL;69
59;CH;58715;E;;0;;2.00853;0.47951;0.30938;AMARELO;70
59;CH;58715;E;;0;;2.00853;0.47951;0.30938;BRANCO;71
59;CH;58760;A;;0;;1.31405;0.18227;0.07888;ROSA;72
60;CH;60193;E;;0;;1.47286;0.2724;0.0619;AZUL;53
60;CH;60194;E;;0;;1.72548;0.15231;0.27776;AMARELO;54
60;CH;60192;B;;0;;2.92255;2.83048;0.22713;BRANCO;55
60;CH;60195;D;;0;;2.34454;0.49237;0.12201;ROSA;56
60;CH;58715;E;;0;;2.00853;0.47951;0.30938;AZUL;69
60;CH;58100;D;;0;;2.51547;0.60177;0.23343;AMARELO;70
60;CH;58100;D;;0;;2.51547;0.60177;0.23343;BRANCO;71
60;CH;58100;D;;0;;2.51547;0.60177;0.23343;ROSA;72
61;CH;60194;E;;0;;1.72548;0.15231;0.27776;AZUL;53
61;CH;60193;E;;0;;1.47286;0.2724;0.0619;AMARELO;54
61;CH;60194;E;;0;;1.72548;0.15231;0.27776;BRANCO;55
61;CH;60196;E;;0;;1.15755;3.57444;0.30703;ROSA;56
61;CH;58273;B;;0;;1.50206;1.22002;0.16136;AZUL;69
61;CH;58273;B;;0;;1.50206;1.22002;0.16136;AMARELO;70
61;CH;58273;B;;0;;1.50206;1.22002;0.16136;BRANCO;71
61;CH;58273;B;;0;;1.50206;1.22002;0.16136;ROSA;72
62;CH;60195;D;;0;;2.34454;0.49237;0.12201;AZUL;53
62;CH;60195;D;;0;;2.34454;0.49237;0.12201;AMARELO;54
62;CH;60196;E;;0;;1.15755;3.57444;0.30703;BRANCO;55
62;CH;60194;E;;0;;1.72548;0.15231;0.27776;ROSA;56
62;CH;58276;C;;0;;1.75425;1.48017;0.20371;AZUL;69
62;CH;58276;C;;0;;1.75425;1.48017;0.20371;AMARELO;70
62;CH;58276;C;;0;;1.75425;1.48017;0.20371;BRANCO;71
62;CH;58276;C;;0;;1.75425;1.48017;0.20371;ROSA;72
63;CH;60196;E;;0;;1.15755;3.57444;0.30703;AZUL;53
63;CH;60196;E;;0;;1.15755;3.57444;0.30703;AMARELO;54
63;CH;60195;D;;0;;2.34454;0.49237;0.12201;BRANCO;55
63;CH;60193;E;;0;;1.47286;0.2724;0.0619;ROSA;56
63;CH;58542;A;;0;;1.42754;1.60842;0.22691;AZUL;69
63;CH;58271;A;;0;;1.95672;0.25621;0.17348;AMARELO;70
63;CH;58542;A;;0;;1.42754;1.60842;0.22691;BRANCO;71
63;CH;58542;B;;0;;1.42754;1.60842;0.22691;ROSA;72
64;CH;58083;B;;0;;1.53994;0.92357;0.16451;AZUL;53
64;CH;58083;B;;0;;1.53994;0.92357;0.16451;AMARELO;54
64;CH;58083;B;;0;;1.53994;0.92357;0.16451;BRANCO;55
64;CH;58083;B;;0;;1.53994;0.92357;0.16451;ROSA;56
64;CH;58271;A;;0;;1.95672;0.25621;0.17348;AZUL;69
64;CH;58542;A;;0;;1.42754;1.60842;0.22691;AMARELO;70
64;CH;58271;A;;0;;1.95672;0.25621;0.17348;BRANCO;71
64;CH;58271;A;;0;;1.95672;0.25621;0.17348;ROSA;72
65;CH;60197;A;;0;;1.34078;1.85222;0.17826;AZUL;53
65;CH;60197;A;;0;;1.34078;1.85222;0.17826;AMARELO;54
65;CH;60198;E;;0;;0.61109;1.32871;0.05748;BRANCO;55
65;CH;60200;C;;0;;2.97342;0.9563;0.20655;ROSA;56
65;CH;58284;C;;0;;3.44534;0.19578;0.20954;AZUL;69
65;CH;58119;E;;0;;3.34114;0.19387;0.2074;AMARELO;70
65;CH;58119;E;;0;;3.34114;0.19387;0.2074;BRANCO;71
65;CH;58284;C;;0;;3.44534;0.19578;0.20954;ROSA;72
66;CH;60198;E;;0;;0.61109;1.32871;0.05748;AZUL;53
66;CH;60198;E;;0;;0.61109;1.32871;0.05748;AMARELO;54
66;CH;60197;A;;0;;1.34078;1.85222;0.17826;BRANCO;55
66;CH;60198;E;;0;;0.61109;1.32871;0.05748;ROSA;56
66;CH;58119;E;;0;;3.34114;0.19387;0.2074;AZUL;69
66;CH;58284;C;;0;;3.44534;0.19578;0.20954;AMARELO;70
66;CH;58284;C;;0;;3.44534;0.19578;0.20954;BRANCO;71
66;CH;58119;E;;0;;3.34114;0.19387;0.2074;ROSA;72
67;CH;60199;D;;0;;1.22125;4.60999;0.13986;AZUL;53
67;CH;60200;C;;0;;2.97342;0.9563;0.20655;AMARELO;54
67;CH;60199;D;;0;;1.22125;4.60999;0.13986;BRANCO;55
67;CH;60197;A;;0;;1.34078;1.85222;0.17826;ROSA;56
67;CH;58246;E;;0;;1.51642;0.89389;0.1116;AZUL;69
67;CH;58246;E;;0;;1.51642;0.89389;0.1116;AMARELO;70
67;CH;58246;E;;0;;1.51642;0.89389;0.1116;BRANCO;71
67;CH;58246;E;;0;;1.51642;0.89389;0.1116;ROSA;72
68;CH;60200;C;;0;;2.97342;0.9563;0.20655;AZUL;53
68;CH;60199;D;;0;;1.22125;4.60999;0.13986;AMARELO;54
68;CH;60200;C;;0;;2.97342;0.9563;0.20655;BRANCO;55
68;CH;60199;D;;0;;1.22125;4.60999;0.13986;ROSA;56
68;CH;58061;B;;0;;0.70664;1.24735;0.15002;AZUL;69
68;CH;58061;B;;0;;0.70664;1.24735;0.15002;AMARELO;70
68;CH;58061;B;;0;;0.70664;1.24735;0.15002;BRANCO;71
68;CH;58061;B;;0;;0.70664;1.24735;0.15002;ROSA;72
69;CH;58520;E;;0;;0.86918;1.60413;0.03914;AZUL;53
69;CH;58520;E;;0;;0.86918;1.60413;0.03914;AMARELO;54
69;CH;58520;E;;0;;0.86918;1.60413;0.03914;BRANCO;55
69;CH;58520;E;;0;;0.86918;1.60413;0.03914;ROSA;56
69;CH;58970;D;;0;;2.175;1.10388;0.1833;AZUL;69
69;CH;58970;D;;0;;2.175;1.10388;0.1833;AMARELO;70
69;CH;58719;C;;0;;1.19559;1.44481;0.20943;BRANCO;71
69;CH;58893;D;;0;;2.49971;1.36519;0.1296;ROSA;72
70;CH;60201;B;;0;;1.91061;1.51306;0.25011;AZUL;53
70;CH;60201;B;;0;;1.91061;1.51306;0.25011;AMARELO;54
70;CH;60202;D;;0;;1.16335;1.6148;0.13595;BRANCO;55
70;CH;60201;B;;0;;1.91061;1.51306;0.25011;ROSA;56
70;CH;58719;C;;0;;1.19559;1.44481;0.20943;AZUL;69
70;CH;58719;C;;0;;1.19559;1.44481;0.20943;AMARELO;70
70;CH;58970;D;;0;;2.175;1.10388;0.1833;BRANCO;71
70;CH;58719;C;;0;;1.19559;1.44481;0.20943;ROSA;72
71;CH;60202;D;;0;;1.16335;1.6148;0.13595;AZUL;53
71;CH;60203;A;;0;;1.61443;1.05392;0.1859;AMARELO;54
71;CH;60201;B;;0;;1.91061;1.51306;0.25011;BRANCO;55
71;CH;60202;D;;0;;1.16335;1.6148;0.13595;ROSA;56
71;CH;58893;D;;0;;2.49971;1.36519;0.1296;AZUL;69
71;CH;58893;D;;0;;2.49971;1.36519;0.1296;AMARELO;70
71;CH;58893;D;;0;;2.49971;1.36519;0.1296;BRANCO;71
71;CH;58970;D;;0;;2.175;1.10388;0.1833;ROSA;72
72;CH;60203;A;;0;;1.61443;1.05392;0.1859;AZUL;53
72;CH;60202;D;;0;;1.16335;1.6148;0.13595;AMARELO;54
72;CH;60204;D;;0;;2.18094;1.69583;0.20318;BRANCO;55
72;CH;60203;A;;0;;1.61443;1.05392;0.1859;ROSA;56
72;CH;57820;D;;0;;1.83652;1.5799;0.162;AZUL;69
72;CH;57820;D;;0;;1.83652;1.5799;0.162;AMARELO;70
72;CH;57820;D;;0;;1.83652;1.5799;0.162;BRANCO;71
72;CH;57820;D;;0;;1.83652;1.5799;0.162;ROSA;72
73;CH;60204;D;;0;;2.18094;1.69583;0.20318;AZUL;53
73;CH;60204;D;;0;;2.18094;1.69583;0.20318;AMARELO;54
73;CH;60203;A;;0;;1.61443;1.05392;0.1859;BRANCO;55
73;CH;60204;D;;0;;2.18094;1.69583;0.20318;ROSA;56
73;CH;58717;D;;0;;1.30538;1.54158;0.14049;AZUL;69
73;CH;58717;D;;0;;1.30538;1.54158;0.14049;AMARELO;70
73;CH;58717;D;;0;;1.30538;1.54158;0.14049;BRANCO;71
73;CH;58717;D;;0;;1.30538;1.54158;0.14049;ROSA;72
74;CH;58114;C;;0;;1.31028;0.64712;0.19019;AZUL;53
74;CH;58114;C;;0;;1.31028;0.64712;0.19019;AMARELO;54
74;CH;58114;C;;0;;1.31028;0.64712;0.19019;BRANCO;55
74;CH;58114;C;;0;;1.31028;0.64712;0.19019;ROSA;56
74;CH;57767;C;;0;;2.10289;0.92426;0.21213;AZUL;69
74;CH;58935;B;;0;;1.12725;0.85157;0.17454;AMARELO;70
74;CH;58935;B;;0;;1.12725;0.85157;0.17454;BRANCO;71
74;CH;57767;C;;0;;2.10289;0.92426;0.21213;ROSA;72
75;CH;60205;C;;0;;2.07392;0.78247;0.15327;AZUL;53
75;CH;60205;C;;0;;2.07392;0.78247;0.15327;AMARELO;54
75;CH;60205;C;;0;;2.07392;0.78247;0.15327;BRANCO;55
75;CH;60205;C;;0;;2.07392;0.78247;0.15327;ROSA;56
75;CH;58935;B;;0;;1.12725;0.85157;0.17454;AZUL;69
75;CH;57767;C;;0;;2.10289;0.92426;0.21213;AMARELO;70
75;CH;57767;C;;0;;2.10289;0.92426;0.21213;BRANCO;71
75;CH;58935;B;;0;;1.12725;0.85157;0.17454;ROSA;72
76;CH;60206;C;;0;;2.37045;1.38095;0.15167;AZUL;53
76;CH;60206;C;;0;;2.37045;1.38095;0.15167;AMARELO;54
76;CH;60206;C;;0;;2.37045;1.38095;0.15167;BRANCO;55
76;CH;60206;C;;0;;2.37045;1.38095;0.15167;ROSA;56
76;CH;58109;D;;0;;1.30149;0.90306;0.14871;AZUL;69
76;CH;58109;D;;0;;1.30149;0.90306;0.14871;AMARELO;70
76;CH;58109;D;;0;;1.30149;0.90306;0.14871;BRANCO;71
76;CH;58109;D;;0;;1.30149;0.90306;0.14871;ROSA;72
77;CH;60207;B;;0;;1.30178;1.74245;0.15235;AZUL;53
77;CH;60207;B;;0;;1.30178;1.74245;0.15235;AMARELO;54
77;CH;60207;B;;0;;1.30178;1.74245;0.15235;BRANCO;55
77;CH;60207;B;;0;;1.30178;1.74245;0.15235;ROSA;56
77;CH;58902;E;;0;;2.2234;1.30763;0.10989;AZUL;69
77;CH;58902;E;;0;;2.2234;1.30763;0.10989;AMARELO;70
77;CH;58902;E;;0;;2.2234;1.30763;0.10989;BRANCO;71
77;CH;58902;E;;0;;2.2234;1.30763;0.10989;ROSA;72
78;CH;60208;A;;0;;2.44222;0.75536;0.19707;AZUL;53
78;CH;60208;A;;0;;2.44222;0.75536;0.19707;AMARELO;54
78;CH;60208;A;;0;;2.44222;0.75536;0.19707;BRANCO;55
78;CH;60208;A;;0;;2.44222;0.75536;0.19707;ROSA;56
78;CH;60080;D;;0;;1.87162;1.98225;0.17273;AZUL;69
78;CH;60080;D;;0;;1.87162;1.98225;0.17273;AMARELO;70
78;CH;58871;A;;0;;2.70795;2.03813;0.18765;BRANCO;71
78;CH;58871;A;;0;;2.70795;2.03813;0.18765;ROSA;72
79;CH;58778;D;;0;;1.95882;0.4439;0.24409;AZUL;53
79;CH;58778;D;;0;;1.95882;0.4439;0.24409;AMARELO;54
79;CH;58778;D;;0;;1.95882;0.4439;0.24409;BRANCO;55
79;CH;58778;D;;0;;1.95882;0.4439;0.24409;ROSA;56
79;CH;58300;D;;0;;1.2184;1.86605;0.12589;AZUL;69
79;CH;58871;A;;0;;2.70795;2.03813;0.18765;AMARELO;70
79;CH;58300;D;;0;;1.2184;1.86605;0.12589;BRANCO;71
79;CH;58300;D;;0;;1.2184;1.86605;0.12589;ROSA;72
80;CH;60209;B;;0;;1.77759;1.86916;0.20452;AZUL;53
80;CH;60209;B;;0;;1.77759;1.86916;0.20452;AMARELO;54
80;CH;60209;B;;0;;1.77759;1.86916;0.20452;BRANCO;55
80;CH;60210;E;;0;;2.57266;1.03065;0.19557;ROSA;56
80;CH;58871;A;;0;;2.70795;2.03813;0.18765;AZUL;69
80;CH;58300;D;;0;;1.2184;1.86605;0.12589;AMARELO;70
80;CH;60080;D;;0;;1.87162;1.98225;0.17273;BRANCO;71
80;CH;60080;D;;0;;1.87162;1.98225;0.17273;ROSA;72
81;CH;60210;E;;0;;2.57266;1.03065;0.19557;AZUL;53
81;CH;60211;A;;0;;2.29066;1.64824;0.11627;AMARELO;54
81;CH;60210;E;;0;;2.57266;1.03065;0.19557;BRANCO;55
81;CH;60209;B;;0;;1.77759;1.86916;0.20452;ROSA;56
81;CH;58086;A;;0;;2.17144;1.01514;0.15421;AZUL;69
81;CH;58086;A;;0;;2.17144;1.01514;0.15421;AMARELO;70
81;CH;58086;A;;0;;2.17144;1.01514;0.15421;BRANCO;71
81;CH;58086;A;;0;;2.17144;1.01514;0.15421;ROSA;72
82;CH;60211;A;;0;;2.29066;1.64824;0.11627;AZUL;53
82;CH;60210;E;;0;;2.57266;1.03065;0.19557;AMARELO;54
82;CH;60211;A;;0;;2.29066;1.64824;0.11627;BRANCO;55
82;CH;60211;A;;0;;2.29066;1.64824;0.11627;ROSA;56
82;CH;57759;D;;0;;2.04623;1.41682;0.13358;AZUL;69
82;CH;57759;D;;0;;2.04623;1.41682;0.13358;AMARELO;70
82;CH;57759;D;;0;;2.04623;1.41682;0.13358;BRANCO;71
82;CH;57759;D;;0;;2.04623;1.41682;0.13358;ROSA;72
83;CH;60212;E;;0;;1.72838;1.45567;0.17309;AZUL;53
83;CH;60212;E;;0;;1.72838;1.45567;0.17309;AMARELO;54
